employee_id,directorate,role,grade,tgv_name,tv_name,baseline_score,user_score,tv_match_rate,tgv_match_rate,final_match_rate
100000,Technology,Brand Executive,S2,Cognitive Complexity & Problem-Solving,gtq,27.46,33.00,120.15,79.77,110.67
100000,Technology,Brand Executive,S2,Cognitive Complexity & Problem-Solving,iq,109.51,94.00,85.83,79.77,110.67
100000,Technology,Brand Executive,S2,Cognitive Complexity & Problem-Solving,tiki,6.00,2.00,33.33,79.77,110.67
100000,Technology,Brand Executive,S2,Core Competencies,avg_competency_score_tv,3.39,4.46,131.69,131.69,110.67
100000,Technology,Brand Executive,S2,Motivation & Drive,pauli,63.50,86.00,135.43,135.43,110.67
100000,Technology,Brand Executive,S2,PAPI General Score,papi_score_tv,5.00,4.50,89.99,89.99,110.67
100000,Technology,Brand Executive,S2,Social Orientation & Collaboration,faxtor,59.00,75.00,127.12,127.12,110.67
100000,Technology,Brand Executive,S2,Top Strength Theme,strength_theme,0,Belief,100.00,100.00,110.67
100001,Technology,HRBP,D3,Cognitive Complexity & Problem-Solving,gtq,27.46,17.00,61.90,65.91,70.61
100001,Technology,HRBP,D3,Cognitive Complexity & Problem-Solving,iq,109.51,94.00,85.83,65.91,70.61
100001,Technology,HRBP,D3,Cognitive Complexity & Problem-Solving,tiki,6.00,3.00,50.00,65.91,70.61
100001,Technology,HRBP,D3,Core Competencies,avg_competency_score_tv,3.39,3.35,99.03,99.03,70.61
100001,Technology,HRBP,D3,Motivation & Drive,pauli,63.50,48.00,75.59,75.59,70.61
100001,Technology,HRBP,D3,PAPI General Score,papi_score_tv,5.00,4.75,95.01,95.01,70.61
100001,Technology,HRBP,D3,Social Orientation & Collaboration,faxtor,59.00,52.00,88.14,88.14,70.61
100001,Technology,HRBP,D3,Top Strength Theme,strength_theme,0,Responsibility,0.00,0.00,70.61
100002,Technology,Sales Superviser,S2,Cognitive Complexity & Problem-Solving,gtq,27.46,20.00,72.82,74.12,71.22
100002,Technology,Sales Superviser,S2,Cognitive Complexity & Problem-Solving,iq,109.51,109.00,99.53,74.12,71.22
100002,Technology,Sales Superviser,S2,Cognitive Complexity & Problem-Solving,tiki,6.00,3.00,50.00,74.12,71.22
100002,Technology,Sales Superviser,S2,Core Competencies,avg_competency_score_tv,3.39,3.08,90.87,90.87,71.22
100002,Technology,Sales Superviser,S2,Motivation & Drive,pauli,63.50,66.00,103.94,103.94,71.22
100002,Technology,Sales Superviser,S2,PAPI General Score,papi_score_tv,5.00,4.70,94.00,94.00,71.22
100002,Technology,Sales Superviser,S2,Social Orientation & Collaboration,faxtor,59.00,38.00,64.41,64.41,71.22
100002,Technology,Sales Superviser,S2,Top Strength Theme,strength_theme,0,Restorative,0.00,0.00,71.22
100003,Commercial,HRBP,S1,Cognitive Complexity & Problem-Solving,gtq,27.46,39.00,142.00,89.87,90.13
100003,Commercial,HRBP,S1,Cognitive Complexity & Problem-Solving,iq,109.51,85.00,77.62,89.87,90.13
100003,Commercial,HRBP,S1,Cognitive Complexity & Problem-Solving,tiki,6.00,3.00,50.00,89.87,90.13
100003,Commercial,HRBP,S1,Core Competencies,avg_competency_score_tv,3.39,2.66,78.71,78.71,90.13
100003,Commercial,HRBP,S1,Motivation & Drive,pauli,63.50,39.00,61.42,61.42,90.13
100003,Commercial,HRBP,S1,PAPI General Score,papi_score_tv,5.00,5.20,104.00,104.00,90.13
100003,Commercial,HRBP,S1,Social Orientation & Collaboration,faxtor,59.00,63.00,106.78,106.78,90.13
100003,Commercial,HRBP,S1,Top Strength Theme,strength_theme,0,Belief,100.00,100.00,90.13
100004,Technology,Supply Planner,D3,Cognitive Complexity & Problem-Solving,gtq,27.46,21.00,76.46,116.27,98.10
100004,Technology,Supply Planner,D3,Cognitive Complexity & Problem-Solving,iq,109.51,134.00,122.36,116.27,98.10
100004,Technology,Supply Planner,D3,Cognitive Complexity & Problem-Solving,tiki,6.00,9.00,150.00,116.27,98.10
100004,Technology,Supply Planner,D3,Core Competencies,avg_competency_score_tv,3.39,3.10,91.69,91.69,98.10
100004,Technology,Supply Planner,D3,Motivation & Drive,pauli,63.50,75.00,118.11,118.11,98.10
100004,Technology,Supply Planner,D3,PAPI General Score,papi_score_tv,5.00,4.65,93.01,93.01,98.10
100004,Technology,Supply Planner,D3,Social Orientation & Collaboration,faxtor,59.00,100.00,169.49,169.49,98.10
100004,Technology,Supply Planner,D3,Top Strength Theme,strength_theme,0,Deliberative,0.00,0.00,98.10
100005,Commercial,Sales Superviser,S2,Cognitive Complexity & Problem-Solving,gtq,27.46,21.00,76.46,103.94,73.49
100005,Commercial,Sales Superviser,S2,Cognitive Complexity & Problem-Solving,iq,109.51,130.00,118.71,103.94,73.49
100005,Commercial,Sales Superviser,S2,Cognitive Complexity & Problem-Solving,tiki,6.00,7.00,116.67,103.94,73.49
100005,Commercial,Sales Superviser,S2,Core Competencies,avg_competency_score_tv,3.39,2.30,68.01,68.01,73.49
100005,Commercial,Sales Superviser,S2,Motivation & Drive,pauli,63.50,69.00,108.66,108.66,73.49
100005,Commercial,Sales Superviser,S2,PAPI General Score,papi_score_tv,5.00,5.05,100.98,100.98,73.49
100005,Commercial,Sales Superviser,S2,Social Orientation & Collaboration,faxtor,59.00,35.00,59.32,59.32,73.49
100005,Commercial,Sales Superviser,S2,Top Strength Theme,strength_theme,0,Input,0.00,0.00,73.49
100006,HR & Corp Affairs,Finance Officer,D3,Cognitive Complexity & Problem-Solving,gtq,27.46,27.00,98.31,108.41,85.00
100006,HR & Corp Affairs,Finance Officer,D3,Cognitive Complexity & Problem-Solving,iq,109.51,139.00,126.92,108.41,85.00
100006,HR & Corp Affairs,Finance Officer,D3,Cognitive Complexity & Problem-Solving,tiki,6.00,6.00,100.00,108.41,85.00
100006,HR & Corp Affairs,Finance Officer,D3,Core Competencies,avg_competency_score_tv,3.39,3.52,103.87,103.87,85.00
100006,HR & Corp Affairs,Finance Officer,D3,Motivation & Drive,pauli,63.50,94.00,148.03,148.03,85.00
100006,HR & Corp Affairs,Finance Officer,D3,PAPI General Score,papi_score_tv,5.00,5.45,108.99,108.99,85.00
100006,HR & Corp Affairs,Finance Officer,D3,Social Orientation & Collaboration,faxtor,59.00,24.00,40.68,40.68,85.00
100006,HR & Corp Affairs,Finance Officer,D3,Top Strength Theme,strength_theme,0,Input,0.00,0.00,85.00
100007,HR & Corp Affairs,HRBP,S1,Cognitive Complexity & Problem-Solving,gtq,27.46,17.00,61.90,72.99,72.67
100007,HR & Corp Affairs,HRBP,S1,Cognitive Complexity & Problem-Solving,iq,109.51,99.00,90.40,72.99,72.67
100007,HR & Corp Affairs,HRBP,S1,Cognitive Complexity & Problem-Solving,tiki,6.00,4.00,66.67,72.99,72.67
100007,HR & Corp Affairs,HRBP,S1,Core Competencies,avg_competency_score_tv,3.39,2.82,83.42,83.42,72.67
100007,HR & Corp Affairs,HRBP,S1,Motivation & Drive,pauli,63.50,65.00,102.36,102.36,72.67
100007,HR & Corp Affairs,HRBP,S1,PAPI General Score,papi_score_tv,5.00,5.05,101.00,101.00,72.67
100007,HR & Corp Affairs,HRBP,S1,Social Orientation & Collaboration,faxtor,59.00,45.00,76.27,76.27,72.67
100007,HR & Corp Affairs,HRBP,S1,Top Strength Theme,strength_theme,0,Connectedness,0.00,0.00,72.67
100008,Commercial,Finance Officer,SMA,Cognitive Complexity & Problem-Solving,gtq,27.46,23.00,83.74,75.17,101.74
100008,Commercial,Finance Officer,SMA,Cognitive Complexity & Problem-Solving,iq,109.51,137.00,125.10,75.17,101.74
100008,Commercial,Finance Officer,SMA,Cognitive Complexity & Problem-Solving,tiki,6.00,1.00,16.67,75.17,101.74
100008,Commercial,Finance Officer,SMA,Core Competencies,avg_competency_score_tv,3.39,3.24,95.83,95.83,101.74
100008,Commercial,Finance Officer,SMA,Motivation & Drive,pauli,63.50,47.00,74.02,74.02,101.74
100008,Commercial,Finance Officer,SMA,PAPI General Score,papi_score_tv,5.00,5.05,101.00,101.00,101.74
100008,Commercial,Finance Officer,SMA,Social Orientation & Collaboration,faxtor,59.00,97.00,164.41,164.41,101.74
100008,Commercial,Finance Officer,SMA,Top Strength Theme,strength_theme,0,Belief,100.00,100.00,101.74
100009,Commercial,Sales Superviser,S2,Cognitive Complexity & Problem-Solving,gtq,27.46,29.00,105.59,82.38,75.57
100009,Commercial,Sales Superviser,S2,Cognitive Complexity & Problem-Solving,iq,109.51,82.00,74.88,82.38,75.57
100009,Commercial,Sales Superviser,S2,Cognitive Complexity & Problem-Solving,tiki,6.00,4.00,66.67,82.38,75.57
100009,Commercial,Sales Superviser,S2,Core Competencies,avg_competency_score_tv,3.39,3.34,98.60,98.60,75.57
100009,Commercial,Sales Superviser,S2,Motivation & Drive,pauli,63.50,21.00,33.07,33.07,75.57
100009,Commercial,Sales Superviser,S2,PAPI General Score,papi_score_tv,5.00,4.85,97.00,97.00,75.57
100009,Commercial,Sales Superviser,S2,Social Orientation & Collaboration,faxtor,59.00,84.00,142.37,142.37,75.57
100009,Commercial,Sales Superviser,S2,Top Strength Theme,strength_theme,0,Analytical,0.00,0.00,75.57
100010,HR & Corp Affairs,HRBP,D3,Cognitive Complexity & Problem-Solving,gtq,27.46,42.00,152.92,87.65,73.07
100010,HR & Corp Affairs,HRBP,D3,Cognitive Complexity & Problem-Solving,iq,109.51,84.00,76.70,87.65,73.07
100010,HR & Corp Affairs,HRBP,D3,Cognitive Complexity & Problem-Solving,tiki,6.00,2.00,33.33,87.65,73.07
100010,HR & Corp Affairs,HRBP,D3,Core Competencies,avg_competency_score_tv,3.39,2.73,80.65,80.65,73.07
