employee_id,scale_code,score
100000,Papi_N,2.0
100001,Papi_N,8.0
100002,Papi_N,9.0
100003,Papi_N,9.0
100004,Papi_N,7.0
100005,Papi_N,4.9920263805173395
100006,Papi_N,2.0
100007,Papi_N,7.0
100008,Papi_N,9.0
100009,Papi_N,9.0
100010,Papi_N,2.0
100011,Papi_N,4.9920263805173395
100012,Papi_N,8.0
100013,Papi_N,5.0
100014,Papi_N,8.0
100015,Papi_N,9.0
100016,Papi_N,6.0
100017,Papi_N,2.0
100018,Papi_N,8.0
100019,Papi_N,1.0
100020,Papi_N,7.0
100021,Papi_N,9.0
100022,Papi_N,4.9920263805173395
100023,Papi_N,7.0
100024,Papi_N,6.0
100025,Papi_N,4.0
100026,Papi_N,7.0
100027,Papi_N,1.0
100028,Papi_N,6.0
100029,Papi_N,2.0
100030,Papi_N,6.0
100031,Papi_N,6.0
100032,Papi_N,9.0
100033,Papi_N,5.0
100034,Papi_N,2.0
100035,Papi_N,3.0
100036,Papi_N,7.0
100037,Papi_N,2.0
100038,Papi_N,2.0
100039,Papi_N,2.0
100040,Papi_N,7.0
100041,Papi_N,4.9920263805173395
100042,Papi_N,8.0
100043,Papi_N,8.0
100044,Papi_N,4.0
100045,Papi_N,3.0
100046,Papi_N,1.0
100047,Papi_N,9.0
100048,Papi_N,5.0
100049,Papi_N,6.0
100050,Papi_N,5.0
100051,Papi_N,7.0
100052,Papi_N,5.0
100053,Papi_N,3.0
100054,Papi_N,3.0
100055,Papi_N,8.0
100056,Papi_N,5.0
100057,Papi_N,2.0
100058,Papi_N,4.0
100059,Papi_N,6.0
100060,Papi_N,4.0
100061,Papi_N,8.0
100062,Papi_N,5.0
100063,Papi_N,8.0
100064,Papi_N,7.0
100065,Papi_N,8.0
100066,Papi_N,3.0
100067,Papi_N,7.0
100068,Papi_N,4.9920263805173395
100069,Papi_N,3.0
100070,Papi_N,4.0
100071,Papi_N,6.0
100072,Papi_N,3.0
100073,Papi_N,5.0
100074,Papi_N,2.0
100075,Papi_N,5.0
100076,Papi_N,8.0
100077,Papi_N,5.0
100078,Papi_N,3.0
100079,Papi_N,1.0
100080,Papi_N,4.9920263805173395
100081,Papi_N,3.0
100082,Papi_N,1.0
100083,Papi_N,4.0
100084,Papi_N,8.0
100085,Papi_N,5.0
100086,Papi_N,1.0
100087,Papi_N,2.0
100088,Papi_N,8.0
100089,Papi_N,2.0
100090,Papi_N,4.9920263805173395
100091,Papi_N,3.0
100092,Papi_N,1.0
100093,Papi_N,9.0
100094,Papi_N,2.0
100095,Papi_N,2.0
100096,Papi_N,7.0
100097,Papi_N,8.0
100098,Papi_N,2.0
100099,Papi_N,5.0
100100,Papi_N,1.0
100101,Papi_N,2.0
100102,Papi_N,6.0
100103,Papi_N,3.0
100104,Papi_N,4.9920263805173395
100105,Papi_N,5.0
100106,Papi_N,6.0
100107,Papi_N,3.0
100108,Papi_N,8.0
100109,Papi_N,6.0
100110,Papi_N,3.0
