employee_id,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki
100000,86,75,SI,Steadiness-Influencer,ENFP,94.0,33.0,2
100001,48,52,DS,Dominant-Steadiness,INTP,94.0,17.0,3
100002,66,38,DC,Dominant-Conscientious,ENFP,109.0,20.0,3
100003,39,63,SI,Steadiness-Influencer,ENTJ,85.0,39.0,3
100004,75,100,CI,Steadiness-Conscientious,INTJ,134.0,21.0,9
100005,69,35,DC,Dominant-Conscientious,ENFP,130.0,21.0,7
100006,94,24,SC,Steadiness-Conscientious,ESFP,139.0,27.0,6
100007,65,45,DS,Dominant-Steadiness,ESFJ,99.0,17.0,4
100008,47,97,ID,Influencer-Dominant,INFP,137.0,23.0,1
100009,21,84,DS,Dominant-Steadiness,ISFP,82.0,29.0,4
100010,43,61,CI,Conscientious-Influencer,ESTJ,84.0,42.0,2
100011,45,31,DI,Dominant-Influencer,ENFP,125.0,31.0,10
100012,20,70,DS,Dominant-Steadiness,ISFJ,108.0,43.0,10
100013,88,32,IC,Influencer-Conscientious,ENTP,124.0,33.0,9
100014,92,54,SI,Steadiness-Influencer,ISTJ,92.0,24.0,7
100015,65,77,DC,Dominant-Conscientious,ENFP,109.51351351351352,27.464839094159714,7
100016,83,93,SI,Steadiness-Influencer,ISTP,97.0,34.0,5
100017,55,80,CS,Conscientious-Steadiness,ENTJ,107.0,31.0,1
100018,66,69,SC,Steadiness-Conscientious,ESFJ,109.51351351351352,28.0,3
100019,28,72,CD,Conscientious-Dominant,ISTP,125.0,23.0,10
100020,83,83,DC,Dominant-Conscientious,ENFP,132.0,33.0,1
100021,22,34,CS,Conscientious-Steadiness,INFP,109.51351351351352,27.464839094159714,2
100022,49,94,CI,Influencer-Conscientious,ISTP,91.0,35.0,8
100023,86,52,DC,Dominant-Conscientious,ESTJ,139.0,30.0,5
100024,64,23,CD,Conscientious-Dominant,ESTP,134.0,23.0,5
100025,53,71,CS,Conscientious-Steadiness,ESTJ,109.51351351351352,34.0,8
100026,96,37,IS,Influencer-Steadiness,ESFJ,107.0,32.0,4
100027,93,76,SC,Steadiness-Conscientious,INFP,97.0,18.0,9
100028,95,71,SI,Steadiness-Influencer,INFP,107.0,20.0,3
100029,93,85,DC,Dominant-Conscientious,INTP,105.0,29.0,10
100030,46,100,DS,Dominant-Steadiness,ESTJ,110.0,22.0,4
100031,34,93,CD,Conscientious-Dominant,INTJ,103.0,35.0,3
100032,29,85,DS,Dominant-Steadiness,ENTJ,109.51351351351352,36.0,7
100033,53,83,ID,Influencer-Dominant,ENFP,117.0,23.0,6
100034,34,35,DS,Dominant-Steadiness,ENFP,116.0,35.0,5
100035,84,36,DI,Dominant-Influencer,ENFP,103.0,28.0,7
100036,96,81,CD,Conscientious-Dominant,ESFJ,120.0,28.0,3
100037,45,41,CI,Conscientious-Influencer,ISTJ,109.51351351351352,27.464839094159714,1
100038,28,51,IC,Influencer-Conscientious,ESFP,93.0,36.0,2
100039,51,52,SI,Steadiness-Influencer,ISFP,125.0,41.0,9
100040,55,36,ID,Influencer-Dominant,ESTP,112.0,24.0,10
100041,53,32,IS,Influencer-Steadiness,ISTJ,86.0,25.0,7
100042,63,43,CD,Conscientious-Dominant,ENFP,139.0,25.0,1
100043,41,97,SD,Steadiness-Dominant,ESFJ,109.51351351351352,27.464839094159714,9
100044,74,44,ID,Influencer-Dominant,ESFP,82.0,41.0,5
100045,99,71,DS,Dominant-Steadiness,ISTJ,111.0,23.0,1
100046,67,91,CI,Dominant-Conscientious,ISTJ,109.51351351351352,27.464839094159714,6
100047,61,55,ID,Influencer-Dominant,ISTJ,110.0,22.0,1
100048,37,32,SI,Steadiness-Influencer,ESFJ,125.0,36.0,1
100049,94,30,DC,Dominant-Conscientious,INTP,133.0,27.0,5
100050,81,54,DC,Dominant-Conscientious,ENFP,131.0,32.0,6
100051,94,61,CS,Conscientious-Steadiness,INFP,110.0,36.0,7
100052,69,55,IC,Influencer-Conscientious,ISTJ,126.0,36.0,10
100053,97,71,IS,Influencer-Steadiness,ISFJ,140.0,23.0,5
100054,23,42,SI,Steadiness-Influencer,ISTJ,88.0,36.0,8
100055,50,80,DS,Dominant-Steadiness,INFJ,124.0,26.0,9
100056,44,20,CI,Conscientious-Influencer,INTJ,109.51351351351352,27.464839094159714,5
100057,39,27,IS,Influencer-Steadiness,ENTP,123.0,35.0,9
100058,60,96,CS,Conscientious-Steadiness,INTJ,109.51351351351352,27.464839094159714,8
100059,64,77,SI,Steadiness-Influencer,ENFP,92.0,13.0,9
100060,46,96,CS,Conscientious-Steadiness,ENTP,109.51351351351352,27.464839094159714,7
100061,92,22,IC,Influencer-Conscientious,ENTP,109.51351351351352,27.464839094159714,6
100062,42,25,CI,Dominant-Influencer,ISTP,89.0,31.0,8
100063,45,96,SC,Steadiness-Conscientious,ESFP,109.51351351351352,27.464839094159714,8
100064,55,27,IS,Influencer-Steadiness,ESTP,96.0,26.0,4
100065,22,29,CS,Conscientious-Steadiness,ISFP,90.0,34.0,10
100066,54,64,CD,Conscientious-Dominant,ENTJ,84.0,28.0,10
100067,40,38,SD,Steadiness-Dominant,INTJ,101.0,20.0,6
100068,34,60,DI,Dominant-Influencer,INTP,109.51351351351352,16.0,5
100069,36,41,IC,Influencer-Conscientious,INFJ,93.0,36.0,10
100070,74,38,DC,Dominant-Conscientious,ENFJ,137.0,36.0,2
100071,38,52,DC,Dominant-Conscientious,ENTP,107.0,35.0,7
100072,92,40,CI,Conscientious-Influencer,INFP,87.0,32.0,4
100073,42,31,IC,Influencer-Conscientious,ESTJ,104.0,35.0,9
100074,52,76,CI,Conscientious-Influencer,INTJ,131.0,25.0,4
100075,31,78,ID,Influencer-Dominant,INTP,109.51351351351352,27.464839094159714,2
100076,90,52,IS,Influencer-Steadiness,ESFP,80.0,34.0,4
100077,79,57,CD,Conscientious-Dominant,ENFJ,135.0,32.0,1
100078,99,46,SI,Steadiness-Influencer,ISTP,84.0,19.0,8
100079,22,38,DS,Dominant-Steadiness,ISTJ,122.0,23.0,5
100080,55,29,DC,Dominant-Conscientious,ENFJ,87.0,36.0,8
100081,49,31,CS,Conscientious-Steadiness,ENFP,138.0,23.0,7
100082,94,39,CI,Conscientious-Steadiness,INTP,133.0,27.0,6
100083,50,81,CD,Conscientious-Dominant,ENTJ,99.0,30.0,2
100084,56,48,SD,Steadiness-Dominant,ENFP,118.0,36.0,5
100085,86,61,CI,Conscientious-Steadiness,ENTJ,109.51351351351352,26.0,8
100086,79,76,IC,Influencer-Conscientious,ISTJ,110.0,36.0,3
100087,36,63,DS,Dominant-Steadiness,ENFP,109.0,25.0,2
100088,29,88,CS,Conscientious-Steadiness,ISFP,83.0,29.0,5
100089,97,26,CD,Conscientious-Dominant,ENFP,109.51351351351352,27.464839094159714,10
100090,48,96,DS,Dominant-Steadiness,ESTJ,109.51351351351352,29.0,1
100091,36,83,DS,Dominant-Steadiness,ENFP,102.0,23.0,6
100092,43,51,IC,Influencer-Conscientious,ENTJ,109.51351351351352,27.464839094159714,1
100093,71,31,CS,Conscientious-Steadiness,ENTP,93.0,24.0,3
100094,24,50,SD,Steadiness-Dominant,INFJ,95.0,16.0,6
100095,66,40,SC,Steadiness-Conscientious,ISFJ,109.51351351351352,27.464839094159714,5
100096,42,78,SI,Steadiness-Influencer,ENTJ,109.51351351351352,20.0,7
100097,44,76,DC,Dominant-Conscientious,INFJ,109.51351351351352,32.0,2
100098,37,32,ID,Influencer-Dominant,ENTJ,128.0,17.0,9
100099,52,80,SC,Steadiness-Conscientious,ESTJ,109.51351351351352,27.464839094159714,7
100100,44,56,DC,Dominant-Conscientious,ENFP,109.51351351351352,27.464839094159714,6
100101,35,97,IC,Influencer-Conscientious,ESTJ,81.0,26.0,2
100102,47,89,SI,Steadiness-Influencer,INTJ,111.0,19.0,5
100103,62,73,CI,Influencer-Steadiness,ESTJ,105.0,26.0,2
100104,80,37,DC,Dominant-Conscientious,ISTP,102.0,23.0,9
100105,50,45,SC,Steadiness-Conscientious,ENFJ,109.51351351351352,27.464839094159714,7
100106,72,49,CD,Conscientious-Dominant,ENFJ,102.0,29.0,4
100107,28,59,CI,Conscientious-Influencer,ISFP,104.0,41.0,9
100108,73,70,DC,Dominant-Conscientious,ISTP,129.0,27.0,5
100109,90,96,DC,Dominant-Conscientious,ESFP,91.0,16.0,4
100110,36,63,SD,Steadiness-Dominant,INFP,97.0,37.0,5
100111,38,99,ID,Influencer-Dominant,ENFJ,83.0,22.0,8
100112,88,83,CI,Dominant-Conscientious,ENTP,132.0,25.0,7
100113,57,72,ID,Influencer-Dominant,INTJ,117.0,28.0,10
100114,33,29,DI,Dominant-Influencer,INFJ,109.51351351351352,27.464839094159714,7
100115,21,62,IS,Influencer-Steadiness,ENFJ,90.0,23.0,7
100116,89,40,SI,Steadiness-Influencer,ISFP,109.51351351351352,27.464839094159714,7
100117,40,98,CI,Dominant-Influencer,INFJ,86.0,25.0,5
